trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
441,False,"{'a': 0.6, 'e': 0.012155178329914935}",20,5,24.620985817316487,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
442,False,"{'a': 0.6, 'e': 0.012034232284723775}",20,7,25.12644083526357,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
443,False,"{'a': 0.6, 'e': 0.011914489672789647}",25,8,28.505243955118797,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
444,False,"{'a': 0.6, 'e': 0.011795938519751562}",30,17,21.848142354391445,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
445,False,"{'a': 0.6, 'e': 0.011678566970395442}",30,18,14.252231102823442,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
446,False,"{'a': 0.6, 'e': 0.011562363287468536}",25,7,30.592415269492115,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
447,False,"{'a': 0.6, 'e': 0.01144731585050571}",30,13,19.524589225287418,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 0}",1
448,False,"{'a': 0.6, 'e': 0.011333413154667387}",25,14,14.540288121713049,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
449,False,"{'a': 0.6, 'e': 0.011220643809589084}",25,6,35.05209059887607,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
450,False,"{'a': 0.6, 'e': 0.011108996538242306}",30,16,22.44731796964565,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
451,False,"{'a': 0.6, 'e': 0.010998460175806881}",25,8,23.659979143125447,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
